app,name,aspect,sentiment,confidence,quote
com.iskrembilen.quasseldroid,User10,поддержка,negative,0.9,Hasn't been updated in a long time (2014)
com.iskrembilen.quasseldroid,User10,надёжность,negative,0.9,appears to break in Android N
com.mantz_it.rfanalyzer,отзыв 1,производительность,positive,0.9,Great app! The new version now works on my Bravia Android TV which is great as it's right by my rooftop aerial cable.
com.mantz_it.rfanalyzer,отзыв 2,производительность,negative,0.95,It's not fully optimised and has some issues with crashing
com.mantz_it.rfanalyzer,отзыв 2,цена,positive,0.9,especially considering the price and it's open source.
com.mantz_it.rfanalyzer,отзыв 3,производительность,positive,0.9,Works on a Nexus 6p
com.mantz_it.rfanalyzer,отзыв 4,производительность,negative,0.95,The bandwidth seemed to be limited to maximum 2 MHz or so. I tried to increase the bandwidth but not possible.
com.mantz_it.rfanalyzer,отзыв 4,реклама,negative,0.85,I purchased this is because one of the pictures in the advertisement showed the 2.4GHz band with around 10MHz or more bandwidth. Is it not possible to increase the bandwidth?
com.mantz_it.rfanalyzer,отзыв 5,производительность,positive,0.9,this has to be the most stable and best to my liking
com.mantz_it.rfanalyzer,отзыв 5,производительность,negative,0.8,However we are quite limited on frequency band width id like to see it lowered to 14.mhz if possible
com.mantz_it.rfanalyzer,отзыв 6,производительность,positive,0.9,Works with RTL and Nextbook Aries 8.
com.mantz_it.rfanalyzer,отзыв 6,надёжность,negative,0.95,Demod stops working if the scan width is changed requiring restart.
com.mantz_it.rfanalyzer,отзыв 7,производительность,negative,0.95,But no go with Watson dongle... Nexus 9. Yet to try on Nexus 6p. So very disappointed!!! :-(
com.mantz_it.rfanalyzer,отзыв 8,дизайн,positive,0.85,looks like a great program  1 of its kind
com.mantz_it.rfanalyzer,отзыв 9,производительность,positive,0.9,This thing is great. I am at the bottom of the learning curve but in the few minutes I have played with it it seems like it will be easy to learn and to use. Just what I hoped for.
com.mantz_it.rfanalyzer,отзыв 10,производительность,positive,0.9,This software works fine on rtl sdr upconverter.
com.mantz_it.rfanalyzer,отзыв 10,поддержка,negative,0.9,But doesn't support sdrplay.Hope you add this support in near future.
vu.de.urpool.quickdroid,отзыв 1,производительность,positive,0.9,faster than google now
vu.de.urpool.quickdroid,отзыв 1,надёжность,positive,0.8,Still works
vu.de.urpool.quickdroid,отзыв 4,производительность,negative,0.7,search categories in Gallery images not
vu.de.urpool.quickdroid,отзыв 4,поддержка,negative,0.8,Plz. After update is 5 ?.plz fast update
vu.de.urpool.quickdroid,отзыв 5,производительность,positive,0.9,fast
vu.de.urpool.quickdroid,отзыв 5,реклама,positive,0.9,I haven't seen any pop up advertisement yet
vu.de.urpool.quickdroid,отзыв 5,дизайн,positive,0.8,simple
vu.de.urpool.quickdroid,отзыв 6,производительность,neutral,0.7,Allow to set priority between apps / contacts etc...
vu.de.urpool.quickdroid,отзыв 7,производительность,positive,0.9,fast and accurate launchy style app searches
vu.de.urpool.quickdroid,отзыв 7,дизайн,negative,0.9,the widget is hideous
vu.de.urpool.quickdroid,отзыв 8,надёжность,negative,0.9,unfunctional crap
vu.de.urpool.quickdroid,отзыв 10,производительность,positive,0.9,One of the best time savers
